"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2018","6,404.55","6,418.72","6,428.51","6,377.00","-","-0.22%"
"Jan 30, 2018","6,418.45","6,462.74","6,464.25","6,409.27","-","-0.61%"
"Jan 29, 2018","6,458.12","6,492.60","6,502.77","6,447.07","-","-0.61%"
"Jan 26, 2018","6,497.44","6,440.29","6,509.77","6,439.40","-","-0.10%"
"Jan 25, 2018","6,503.86","6,499.31","6,528.82","6,432.91","-","0.15%"
"Jan 24, 2018","6,494.20","6,472.89","6,517.05","6,470.45","-","0.34%"
"Jan 23, 2018","6,472.46","6,426.57","6,475.76","6,425.47","-","0.72%"
"Jan 22, 2018","6,425.90","6,412.31","6,426.52","6,393.67","-","0.38%"
"Jan 19, 2018","6,401.59","6,370.79","6,422.91","6,368.38","-","0.50%"
"Jan 18, 2018","6,369.60","6,347.15","6,378.67","6,340.99","-","-0.11%"
"Jan 17, 2018","6,376.77","6,389.34","6,401.90","6,359.34","-","-0.05%"
"Jan 16, 2018","6,380.00","6,380.54","6,398.47","6,370.85","-","-0.05%"
"Jan 15, 2018","6,383.49","6,347.36","6,389.57","6,342.46","-","0.96%"
"Jan 12, 2018","6,322.82","6,286.73","6,342.76","6,275.46","-","0.61%"
"Jan 11, 2018","6,284.24","6,271.03","6,289.74","6,251.51","-","0.05%"
"Jan 10, 2018","6,281.02","6,260.21","6,288.95","6,254.98","-","0.33%"
"Jan 09, 2018","6,260.38","6,237.17","6,261.50","6,237.17","-","0.29%"
"Jan 08, 2018","6,242.23","6,251.50","6,257.00","6,233.33","-","-0.09%"
"Jan 05, 2018","6,247.87","6,213.09","6,253.11","6,213.00","-","0.56%"
"Jan 04, 2018","6,212.92","6,117.55","6,218.88","6,116.32","-","1.49%"
"Jan 03, 2018","6,121.74","6,114.40","6,128.23","6,107.42","-","0.17%"
"Jan 02, 2018","6,111.48","6,098.60","6,116.22","6,094.01","-","0.21%"
"Jan 01, 2018","6,098.83","6,092.49","6,098.83","6,092.48","-","0.00%"
"Dec 29, 2017","6,098.65","6,076.74","6,105.35","6,074.89","-","0.37%"
"Dec 28, 2017","6,076.39","6,073.18","6,147.47","6,070.96","-","0.12%"
"Dec 27, 2017","6,068.97","6,048.22","6,076.17","6,047.10","-","0.35%"
"Dec 26, 2017","6,047.52","6,052.35","6,054.07","6,041.23","-","0.05%"
"Dec 25, 2017","6,044.49","6,046.82","6,057.88","6,042.97","-","0.05%"
"Dec 22, 2017","6,041.75","6,051.49","6,056.53","6,039.13","-","-0.05%"
"Dec 21, 2017","6,044.61","6,023.70","6,055.16","6,005.38","-","0.25%"
"Dec 20, 2017","6,029.63","6,043.47","6,049.63","6,022.47","-","-0.02%"
"Dec 19, 2017","6,030.92","6,046.86","6,062.70","6,029.37","-","-0.42%"
"Dec 18, 2017","6,056.44","5,965.48","6,059.92","5,964.13","-","1.49%"
"Dec 15, 2017","5,967.39","5,994.21","5,996.90","5,956.54","-","-0.42%"
"Dec 14, 2017","5,992.80","6,028.09","6,031.96","5,992.80","-","-0.16%"
"Dec 13, 2017","6,002.49","5,995.85","6,030.84","5,989.74","-","0.18%"
"Dec 12, 2017","5,991.83","5,978.75","5,999.43","5,977.36","-","0.07%"
"Dec 11, 2017","5,987.82","5,963.65","5,993.96","5,962.79","-","0.48%"
"Dec 08, 2017","5,959.02","5,932.64","5,974.68","5,931.41","-","0.38%"
"Dec 07, 2017","5,936.66","5,927.64","5,949.29","5,925.06","-","0.18%"
"Dec 06, 2017","5,925.70","5,961.99","5,962.72","5,906.89","-","-0.60%"
"Dec 05, 2017","5,961.73","5,980.22","5,986.83","5,953.97","-","-0.22%"
"Dec 04, 2017","5,974.61","5,957.12","5,984.79","5,930.36","-","0.35%"
"Dec 01, 2017","5,953.59","5,980.85","6,002.39","5,953.59","-","-0.81%"
"Nov 30, 2017","6,002.31","5,990.21","6,016.69","5,981.10","-","0.17%"
"Nov 29, 2017","5,992.38","5,990.95","6,027.10","5,990.15","-","0.11%"
"Nov 28, 2017","5,986.00","5,982.41","5,998.90","5,969.90","-","-0.05%"
"Nov 27, 2017","5,989.20","6,005.25","6,019.84","5,981.43","-","-0.35%"
"Nov 24, 2017","6,010.13","5,986.69","6,013.92","5,974.12","-","0.44%"
"Nov 23, 2017","5,983.68","5,975.23","5,992.31","5,960.45","-","0.44%"
"Nov 22, 2017","5,957.66","5,932.88","5,977.98","5,932.82","-","0.48%"
"Nov 21, 2017","5,929.42","5,897.15","5,944.54","5,897.11","-","0.41%"
"Nov 20, 2017","5,905.45","5,899.71","5,912.05","5,884.69","-","0.10%"
"Nov 17, 2017","5,899.33","5,892.40","5,930.43","5,891.52","-","0.03%"
"Nov 16, 2017","5,897.60","5,859.07","5,901.82","5,859.07","-","0.63%"
"Nov 15, 2017","5,860.84","5,906.26","5,906.26","5,854.20","-","-0.54%"
"Nov 14, 2017","5,892.82","5,891.24","5,911.67","5,883.91","-","-0.03%"
"Nov 13, 2017","5,894.61","5,923.88","5,924.17","5,876.91","-","-0.67%"
"Nov 10, 2017","5,934.56","5,954.34","5,955.93","5,925.45","-","-0.15%"
"Nov 09, 2017","5,943.31","5,971.89","5,999.66","5,940.66","-","-0.48%"
"Nov 08, 2017","5,971.86","5,965.35","5,980.93","5,961.00","-","0.25%"
"Nov 07, 2017","5,956.89","5,971.00","5,992.16","5,955.17","-","0.05%"
"Nov 06, 2017","5,953.76","5,960.03","5,971.44","5,946.71","-","-0.08%"
"Nov 03, 2017","5,958.48","5,966.85","5,982.09","5,948.26","-","-0.26%"
"Nov 02, 2017","5,974.05","5,959.07","5,984.65","5,958.70","-","0.23%"
"Nov 01, 2017","5,960.60","5,940.09","5,982.23","5,939.64","-","0.35%"
"Oct 31, 2017","5,940.00","5,937.90","5,944.20","5,926.39","-","0.14%"
"Oct 30, 2017","5,931.92","5,911.01","5,942.68","5,910.22","-","0.47%"
"Oct 27, 2017","5,904.24","5,891.24","5,919.11","5,887.93","-","-0.07%"
"Oct 26, 2017","5,908.25","5,907.98","5,924.86","5,892.86","-","0.05%"
