"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18, 2016","1,204.36","1,183.50","1,205.46","1,183.29","-","1.85%"
"Aug 17, 2016","1,182.49","1,197.11","1,197.76","1,157.32","-","-1.11%"
"Aug 16, 2016","1,195.72","1,191.97","1,206.50","1,191.53","-","0.29%"
"Aug 15, 2016","1,192.28","1,196.74","1,207.44","1,187.92","-","-0.36%"
"Aug 14, 2016","1,196.63","1,196.68","1,196.72","1,196.37","-","-0.11%"
"Aug 12, 2016","1,197.92","1,198.70","1,221.95","1,190.84","-","0.00%"
"Aug 11, 2016","1,197.88","1,203.22","1,223.95","1,196.61","-","-0.45%"
"Aug 10, 2016","1,203.24","1,184.82","1,222.52","1,184.68","-","1.54%"
"Aug 09, 2016","1,184.99","1,174.83","1,194.17","1,172.14","-","0.87%"
"Aug 08, 2016","1,174.75","1,163.09","1,189.09","1,155.20","-","1.04%"
"Aug 07, 2016","1,162.64","1,163.04","1,163.43","1,162.64","-","-0.04%"
"Aug 05, 2016","1,163.11","1,196.65","1,201.41","1,149.83","-","-2.77%"
"Aug 04, 2016","1,196.21","1,184.18","1,203.47","1,179.28","-","1.09%"
"Aug 03, 2016","1,183.26","1,188.81","1,194.57","1,166.45","-","-0.56%"
"Aug 02, 2016","1,189.97","1,178.33","1,205.81","1,174.43","-","0.88%"
"Aug 01, 2016","1,179.64","1,164.74","1,180.66","1,162.92","-","1.32%"
"Jul 31, 2016","1,164.31","1,164.62","1,164.75","1,164.17","-","-0.08%"
"Jul 29, 2016","1,165.30","1,125.31","1,174.20","1,125.12","-","3.64%"
"Jul 28, 2016","1,124.35","1,112.50","1,134.53","1,103.15","-","1.24%"
"Jul 27, 2016","1,110.60","1,061.20","1,117.48","1,055.44","-","4.76%"
"Jul 26, 2016","1,060.15","1,032.58","1,069.32","1,028.85","-","2.71%"
"Jul 25, 2016","1,032.17","1,075.56","1,076.00","1,026.20","-","-4.03%"
"Jul 24, 2016","1,075.50","1,075.56","1,075.88","1,075.37","-","0.13%"
"Jul 22, 2016","1,074.13","1,077.15","1,085.63","1,064.41","-","-0.39%"
"Jul 21, 2016","1,078.36","1,042.89","1,080.84","1,033.84","-","3.28%"
