"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2017","646.61","649.69","649.74","642.31","-","-0.49%"
"Sep 26, 2017","649.79","646.82","651.80","646.79","-","0.46%"
"Sep 25, 2017","646.82","640.01","648.98","638.77","-","1.04%"
"Sep 22, 2017","640.18","636.96","641.75","636.74","-","0.54%"
"Sep 21, 2017","636.72","637.77","638.85","634.57","-","-0.22%"
"Sep 20, 2017","638.15","633.08","638.93","632.96","-","0.82%"
"Sep 19, 2017","632.96","638.49","638.71","632.26","-","-0.87%"
"Sep 18, 2017","638.53","639.05","643.54","638.08","-","-0.09%"
"Sep 15, 2017","639.09","638.70","642.19","636.53","-","0.05%"
"Sep 14, 2017","638.76","638.27","639.58","634.17","-","0.05%"
"Sep 13, 2017","638.46","640.75","643.54","638.29","-","-0.37%"
"Sep 12, 2017","640.81","639.64","641.91","638.81","-","0.17%"
"Sep 11, 2017","639.72","636.25","640.78","636.22","-","0.53%"
"Sep 08, 2017","636.36","635.68","640.48","635.48","-","0.11%"
"Sep 07, 2017","635.67","629.46","637.37","629.39","-","0.98%"
"Sep 06, 2017","629.50","626.37","629.76","623.65","-","0.45%"
"Sep 05, 2017","626.68","623.04","627.08","621.12","-","0.58%"
"Sep 04, 2017","623.08","626.90","626.90","621.08","-","-0.61%"
"Sep 01, 2017","626.88","623.80","627.52","622.80","-","0.51%"
"Aug 31, 2017","623.67","612.38","624.03","610.61","-","1.82%"
"Aug 30, 2017","612.51","603.67","613.20","603.60","-","1.46%"
"Aug 29, 2017","603.70","602.19","605.79","600.05","-","0.25%"
"Aug 28, 2017","602.21","602.32","603.06","601.98","-","0.04%"
"Aug 25, 2017","601.99","598.82","603.17","598.74","-","0.53%"
"Aug 24, 2017","598.80","596.46","599.19","596.42","-","0.40%"
"Aug 23, 2017","596.42","593.48","596.56","592.41","-","0.48%"
"Aug 22, 2017","593.58","588.74","594.16","588.73","-","0.80%"
"Aug 21, 2017","588.89","586.20","592.49","586.09","-","0.52%"
"Aug 18, 2017","585.86","591.56","591.62","584.25","-","-0.97%"
"Aug 17, 2017","591.61","592.18","593.73","588.17","-","-0.11%"
"Aug 16, 2017","592.25","586.36","592.84","586.21","-","1.04%"
"Aug 15, 2017","586.16","589.01","589.09","582.62","-","-0.55%"
"Aug 14, 2017","589.43","583.33","589.90","583.32","-","1.06%"
"Aug 11, 2017","583.26","590.63","590.67","580.36","-","-1.29%"
"Aug 10, 2017","590.89","593.38","596.52","590.58","-","-0.41%"
"Aug 09, 2017","593.30","596.86","596.91","592.37","-","-0.59%"
"Aug 08, 2017","596.82","592.67","597.43","592.02","-","0.71%"
"Aug 07, 2017","592.61","585.85","593.55","585.27","-","1.18%"
"Aug 04, 2017","585.67","588.03","588.36","584.28","-","-0.43%"
"Aug 03, 2017","588.21","584.72","589.68","584.62","-","0.62%"
"Aug 02, 2017","584.58","584.81","586.82","582.08","-","-0.10%"
"Aug 01, 2017","585.15","581.40","587.34","580.70","-","0.73%"
"Jul 31, 2017","580.90","583.17","583.55","576.16","-","-0.38%"
"Jul 28, 2017","583.14","590.62","590.71","580.61","-","-1.29%"
"Jul 27, 2017","590.77","586.36","592.88","586.27","-","0.86%"
"Jul 26, 2017","585.74","579.44","586.36","579.39","-","1.13%"
"Jul 25, 2017","579.22","580.76","584.85","578.78","-","-0.25%"
"Jul 24, 2017","580.69","588.76","588.77","578.53","-","-1.40%"
"Jul 21, 2017","588.92","593.17","594.16","586.92","-","-0.74%"
"Jul 20, 2017","593.31","592.65","596.50","592.32","-","0.14%"
"Jul 19, 2017","592.46","586.51","593.78","585.98","-","1.02%"
"Jul 18, 2017","586.50","587.56","591.71","586.22","-","-0.18%"
"Jul 17, 2017","587.54","588.34","593.73","586.82","-","-0.10%"
"Jul 14, 2017","588.13","579.57","589.72","579.49","-","1.51%"
"Jul 13, 2017","579.38","574.42","580.05","573.57","-","0.90%"
"Jul 12, 2017","574.21","563.19","575.94","563.18","-","1.95%"
"Jul 11, 2017","563.22","561.49","563.39","558.72","-","0.30%"
"Jul 10, 2017","561.52","557.86","562.72","557.01","-","0.75%"
"Jul 07, 2017","557.36","560.29","560.32","555.24","-","-0.58%"
"Jul 06, 2017","560.60","559.58","562.77","559.19","-","0.23%"
"Jul 05, 2017","559.32","565.38","566.03","558.15","-","-1.10%"
"Jul 04, 2017","565.53","560.63","566.05","560.47","-","0.90%"
"Jul 03, 2017","560.50","557.39","562.90","556.88","-","0.64%"
"Jun 30, 2017","556.92","558.88","559.71","555.22","-","-0.43%"
"Jun 29, 2017","559.35","558.83","563.91","557.46","-","0.13%"
"Jun 28, 2017","558.65","555.81","559.04","549.95","-","0.43%"
"Jun 27, 2017","556.26","550.59","556.99","550.26","-","1.12%"
"Jun 26, 2017","550.10","549.11","555.60","549.11","-","0.16%"
"Jun 23, 2017","549.22","540.84","549.41","540.81","-","1.55%"
"Jun 22, 2017","540.85","541.54","544.00","534.84","-","-0.27%"
"Jun 21, 2017","542.30","544.46","544.51","537.60","-","-0.37%"
